OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total population, 2021","# Total population, 2021 (MOE)","# Area, square miles, 2021","Population density (people per square mile), 2021",Shape__Area,Shape__Length
757,Atlanta Regional Commission,Yes,13067030908,1623,Tract,2020,"Census Tract 309.08, Cobb County",4478,838,1.004419,4458.3,27988578.7194824,24237.5682922033
758,Atlanta Regional Commission,Yes,13067031412,1676,Tract,2020,"Census Tract 314.12, Cobb County",4688,827,1.560458,3004.2,43482487.5476074,30620.4299991271
759,Atlanta Regional Commission,Yes,13067030266,1545,Tract,2020,"Census Tract 302.66, Cobb County",2346,295,2.707094,866.6,75435227.6525879,45428.7242470978
760,Atlanta Regional Commission,Yes,13067030349,1578,Tract,2020,"Census Tract 303.49, Cobb County",3086,612,1.627564,1896.1,45353557.0849609,28542.3122786498
761,Atlanta Regional Commission,Yes,13067030360,1589,Tract,2020,"Census Tract 303.60, Cobb County",2054,262,1.014823,2024,28278487.2739258,27443.8843541589
762,Atlanta Regional Commission,Yes,13067030276,1555,Tract,2020,"Census Tract 302.76, Cobb County",2901,411,2.799846,1036.1,78021736.5273438,43870.7909015917
763,Coastal Regional Commission,No,13051004500,1275,Tract,2020,"Census Tract 45, Chatham County",4107,688,2.382978,1723.5,66508607.0446777,37811.7922759015
764,Atlanta Regional Commission,Yes,13067030253,1532,Tract,2020,"Census Tract 302.53, Cobb County",3510,766,3.786917,926.9,105527217.290527,49386.9661602658
765,Atlanta Regional Commission,Yes,13067030277,1556,Tract,2020,"Census Tract 302.77, Cobb County",3203,461,1.459137,2195.1,40660336.8791504,30549.622464039
766,Atlanta Regional Commission,Yes,13067030252,1531,Tract,2020,"Census Tract 302.52, Cobb County",4865,491,3.758152,1294.5,104726260.809082,41397.0726130795
767,Atlanta Regional Commission,Yes,13067030358,1587,Tract,2020,"Census Tract 303.58, Cobb County",3817,640,1.497036,2549.7,41715488.2731934,36781.8232412697
768,Atlanta Regional Commission,Yes,13067030353,1582,Tract,2020,"Census Tract 303.53, Cobb County",3135,452,1.178566,2660,32840615.0166016,26124.0106356342
769,Atlanta Regional Commission,Yes,13067031410,1674,Tract,2020,"Census Tract 314.10, Cobb County",4762,1715,1.614309,2949.9,44983287.078125,30547.3615451754
770,Atlanta Regional Commission,Yes,13067031213,1650,Tract,2020,"Census Tract 312.13, Cobb County",2881,522,1.061323,2714.5,29573292.3879395,33211.386612733
771,Atlanta Regional Commission,Yes,13067031323,1670,Tract,2020,"Census Tract 313.23, Cobb County",2672,1347,1.487511,1796.3,41449354.5246582,36037.6955053901
772,Atlanta Regional Commission,Yes,13067031217,1654,Tract,2020,"Census Tract 312.17, Cobb County",3705,658,0.863622,4290.1,24064652.246582,23655.8186933448
773,Atlanta Regional Commission,Yes,13067031321,1668,Tract,2020,"Census Tract 313.21, Cobb County",1985,533,3.805879,521.6,106048859.145996,48418.3613083377
774,Atlanta Regional Commission,Yes,13067031320,1667,Tract,2020,"Census Tract 313.20, Cobb County",5235,786,0.775956,6746.5,21621741.7189941,31880.2167108318
775,Atlanta Regional Commission,Yes,13067031322,1669,Tract,2020,"Census Tract 313.22, Cobb County",4262,602,1.588558,2682.9,44264847.8129883,34023.6688141553
776,Atlanta Regional Commission,Yes,13067031314,1661,Tract,2020,"Census Tract 313.14, Cobb County",6031,785,3.252862,1854.1,90639445.3339844,41797.5483220748
777,Atlanta Regional Commission,Yes,13067030361,1590,Tract,2020,"Census Tract 303.61, Cobb County",4261,774,2.051708,2076.8,57172653.0915527,33300.8707168556
778,Atlanta Regional Commission,Yes,13067030108,1509,Tract,2020,"Census Tract 301.08, Cobb County",4687,1055,6.596581,710.5,183825983.886719,63166.4041081477
779,Atlanta Regional Commission,Yes,13067030244,1523,Tract,2020,"Census Tract 302.44, Cobb County",4778,561,3.087794,1547.4,86046181.3203125,42653.4695416859
780,Atlanta Regional Commission,Yes,13067030350,1579,Tract,2020,"Census Tract 303.50, Cobb County",2365,253,0.947444,2496.2,26401141.0424805,23079.077444657
781,Atlanta Regional Commission,Yes,13067030262,1541,Tract,2020,"Census Tract 302.62, Cobb County",4547,814,2.734776,1662.7,76206315.0627441,43784.5052441987
782,Atlanta Regional Commission,Yes,13067031518,1692,Tract,2020,"Census Tract 315.18, Cobb County",2779,564,1.484311,1872.2,41361106.5632324,37667.7935061567
783,Atlanta Regional Commission,Yes,13067030271,1550,Tract,2020,"Census Tract 302.71, Cobb County",3012,886,2.390335,1260.1,66608605.1794434,32228.0832707056
784,Atlanta Regional Commission,Yes,13067031324,1671,Tract,2020,"Census Tract 313.24, Cobb County",4440,1225,2.538101,1749.3,70723757.1291504,40008.7776785975
785,Atlanta Regional Commission,Yes,13067031319,1666,Tract,2020,"Census Tract 313.19, Cobb County",5235,1125,2.119956,2469.4,59071638.0793457,53745.6740664072
786,Atlanta Regional Commission,Yes,13067031214,1651,Tract,2020,"Census Tract 312.14, Cobb County",3869,1183,1.861536,2078.4,51870732.8222656,37776.4859780062
787,Atlanta Regional Commission,Yes,13067030113,1514,Tract,2020,"Census Tract 301.13, Cobb County",4230,870,0.856798,4937,23876100.8842773,22901.9809975068
788,Atlanta Regional Commission,Yes,13067030352,1581,Tract,2020,"Census Tract 303.52, Cobb County",5885,901,3.340107,1761.9,93072173.4431152,44071.4174236777
789,Atlanta Regional Commission,Yes,13067030351,1580,Tract,2020,"Census Tract 303.51, Cobb County",3239,871,1.231547,2630,34317169.0549316,26980.9598127938
790,Atlanta Regional Commission,Yes,13067031119,1643,Tract,2020,"Census Tract 311.19, Cobb County",3944,842,1.663391,2371.1,46350665.6843262,31124.9036186067
791,Atlanta Regional Commission,Yes,13067031218,1655,Tract,2020,"Census Tract 312.18, Cobb County",2424,285,0.359183,6748.6,10008508.0871582,20562.6884817304
792,Southwest Georgia,No,13071970800,1717,Tract,2020,"Census Tract 9708, Colquitt County",3254,508,2.544043,1279.1,70849094.1585083,40883.6416087963
793,Atlanta Regional Commission,Yes,13097080405,2061,Tract,2020,"Census Tract 804.05, Douglas County",5090,558,24.589828,207,685207908.379395,128581.537575696
794,Atlanta Regional Commission,Yes,13097080514,2072,Tract,2020,"Census Tract 805.14, Douglas County",4125,604,12.211588,337.8,340273592.586182,107920.774917393
795,Atlanta Regional Commission,Yes,13097080408,2064,Tract,2020,"Census Tract 804.08, Douglas County",2842,468,16.856348,168.6,469720067.728516,121671.698471754
796,Atlanta Regional Commission,Yes,13097080407,2063,Tract,2020,"Census Tract 804.07, Douglas County",4677,658,6.293457,743.2,175375261.293945,67839.8068490783
797,Atlanta Regional Commission,Yes,13097080105,2049,Tract,2020,"Census Tract 801.05, Douglas County",4036,979,8.691427,464.4,242182961.806152,76503.8054153829
798,Atlanta Regional Commission,Yes,13097080106,2050,Tract,2020,"Census Tract 801.06, Douglas County",3495,746,2.748354,1271.7,76583062.1257324,47724.8730128497
799,Atlanta Regional Commission,Yes,13097080305,2057,Tract,2020,"Census Tract 803.05, Douglas County",5327,1371,4.274249,1246.3,119103865.499268,46873.3296183173
800,Atlanta Regional Commission,Yes,13097080104,2048,Tract,2020,"Census Tract 801.04, Douglas County",5248,914,3.075925,1706.2,85710280.2229004,50828.2546297929
801,Atlanta Regional Commission,Yes,13097080512,2070,Tract,2020,"Census Tract 805.12, Douglas County",4968,778,4.198332,1183.3,116986479.188477,55296.574084873
802,Coastal Regional Commission,No,13191990000,3185,Tract,2020,"Census Tract 9900, McIntosh County",0,14,77.773369,0,2170268284.24573,345130.762421956
803,Coastal Regional Commission,No,13051990000,1329,Tract,2020,"Census Tract 9900, Chatham County",0,14,106.81339,0,2981831271.56628,367132.951119057
804,Atlanta Regional Commission,Yes,13097080607,2077,Tract,2020,"Census Tract 806.07, Douglas County",3846,634,2.984865,1288.5,83173428.1738281,40207.0746925617
805,Atlanta Regional Commission,Yes,13097080204,2054,Tract,2020,"Census Tract 802.04, Douglas County",3123,609,2.443568,1278,68090347.6286621,48842.2572130896
806,Atlanta Regional Commission,Yes,13097080107,2051,Tract,2020,"Census Tract 801.07, Douglas County",3740,716,1.133973,3298.1,31598057.5649414,33276.2919665108
807,Atlanta Regional Commission,Yes,13097080307,2059,Tract,2020,"Census Tract 803.07, Douglas County",3527,784,2.700483,1306.1,75250761.1970215,50961.8866579779
808,Atlanta Regional Commission,Yes,13097080306,2058,Tract,2020,"Census Tract 803.06, Douglas County",4155,741,1.695339,2450.8,47241613.8227539,30401.3009403386
809,Atlanta Regional Commission,Yes,13097080406,2062,Tract,2020,"Census Tract 804.06, Douglas County",3984,490,18.876575,211.1,525994797.169189,108063.265279253
810,Atlanta Regional Commission,Yes,13097080608,2078,Tract,2020,"Census Tract 806.08, Douglas County",2638,775,2.529408,1042.9,70482104.5644531,40878.4603530802
811,Atlanta Regional Commission,Yes,13097080203,2053,Tract,2020,"Census Tract 802.03, Douglas County",6325,823,3.411433,1854.1,95059533.0947266,43853.614327002
812,Atlanta Regional Commission,Yes,13097080513,2071,Tract,2020,"Census Tract 805.13, Douglas County",4777,1660,1.602982,2980.1,44666856.4003906,28882.5277610521
813,Atlanta Regional Commission,Yes,13097080606,2076,Tract,2020,"Census Tract 806.06, Douglas County",4581,661,7.158779,639.9,199475136.366943,71504.4101864222
814,Atlanta Regional Commission,Yes,13097080605,2075,Tract,2020,"Census Tract 806.05, Douglas County",3644,634,3.660951,995.4,102011712.187012,43133.7864232262
815,Atlanta Regional Commission,Yes,13097080515,2073,Tract,2020,"Census Tract 805.15, Douglas County",5482,666,4.350017,1260.2,121211835.58252,55648.1869267802
816,Atlanta Regional Commission,Yes,13063040416,1448,Tract,2020,"Census Tract 404.16, Clayton County",2870,555,1.484127,1933.8,41351663.3105469,27366.2993938263
817,Atlanta Regional Commission,Yes,13063040525,1469,Tract,2020,"Census Tract 405.25, Clayton County",2894,403,0.903979,3201.4,25186964.6791992,27950.6775422662
818,Atlanta Regional Commission,Yes,13135050528,2728,Tract,2020,"Census Tract 505.28, Gwinnett County",4653,370,2.130507,2184,59367113.3398438,35793.9165902875
819,Atlanta Regional Commission,Yes,13135050530,2730,Tract,2020,"Census Tract 505.30, Gwinnett County",6376,845,1.371244,4649.8,38209722.838623,27695.9223109005
820,Atlanta Regional Commission,Yes,13135050529,2729,Tract,2020,"Census Tract 505.29, Gwinnett County",4227,423,2.113246,2000.2,58885805.6086426,37410.4087932096
821,Middle Georgia,No,13169030101,3072,Tract,2020,"Census Tract 301.01, Jones County",2227,385,33.525791,66.4,934033089.802979,156115.262877109
822,Middle Georgia,No,13169030200,3076,Tract,2020,"Census Tract 302, Jones County",3400,498,196.94028,17.3,5487049256.36548,366974.910667313
823,Central Savannah River Area,No,13245010101,3443,Tract,2020,"Census Tract 101.01, Richmond County",3281,639,3.321762,987.7,92642972.486084,60534.6130692142
824,Central Savannah River Area,No,13245010706,3469,Tract,2020,"Census Tract 107.06, Richmond County",5743,821,11.937634,481.1,332930626.557861,103913.775550346
825,Central Savannah River Area,No,13245010507,3458,Tract,2020,"Census Tract 105.07, Richmond County",4683,689,2.659132,1761.1,74158295.3242188,37061.2755949695
826,Central Savannah River Area,No,13245010203,3450,Tract,2020,"Census Tract 102.03, Richmond County",4436,770,2.001239,2216.6,55809980.7937012,36672.9329052316
827,Central Savannah River Area,No,13245010201,3449,Tract,2020,"Census Tract 102.01, Richmond County",4663,437,2.329218,2002,64957825.3398438,43872.8544875549
828,Central Savannah River Area,No,13245000100,3430,Tract,2020,"Census Tract 1, Richmond County",4404,778,1.870531,2354.4,52167526.8647461,31649.9707160288
829,Central Savannah River Area,No,13245010400,3456,Tract,2020,"Census Tract 104, Richmond County",3267,685,1.88009,1737.7,52434458.1865234,36943.1765327575
830,Southern Georgia,No,13277960301,3596,Tract,2020,"Census Tract 9603.01, Tift County",5675,654,6.744509,841.4,187851411.095215,71545.2969685472
831,Southern Georgia,No,13277960302,3597,Tract,2020,"Census Tract 9603.02, Tift County",2915,503,1.363441,2138,37975256.9350586,26828.9379107995
832,Southern Georgia,No,13277960401,3598,Tract,2020,"Census Tract 9604.01, Tift County",3969,550,5.682703,698.4,158279817.606323,58673.0904810762
833,Southern Georgia,No,13277960402,3599,Tract,2020,"Census Tract 9604.02, Tift County",1773,443,0.993383,1784.8,27668450.6311035,24883.4346521709
834,Southern Georgia,No,13277960602,3602,Tract,2020,"Census Tract 9606.02, Tift County",4241,901,1.680806,2523.2,46814712.6845703,43726.9764184494
835,Southern Georgia,No,13277960601,3601,Tract,2020,"Census Tract 9606.01, Tift County",2650,443,3.866007,685.5,107678419.391113,61189.9307835018
836,Atlanta Regional Commission,Yes,13063040308,1441,Tract,2020,"Census Tract 403.08, Clayton County",4038,693,3.541764,1140.1,98684066.4304199,59055.7844222849
837,Atlanta Regional Commission,Yes,13063040204,1437,Tract,2020,"Census Tract 402.04, Clayton County",5207,717,1.06294,4898.7,29616704.045166,26966.8614670849
838,Atlanta Regional Commission,Yes,13063040414,1447,Tract,2020,"Census Tract 404.14, Clayton County",1531,259,0.832869,1838.2,23205966.6279297,24557.8827209145
839,Atlanta Regional Commission,Yes,13063040521,1466,Tract,2020,"Census Tract 405.21, Clayton County",3870,772,1.013474,3818.5,28238086.1359863,25210.7022790011
840,Atlanta Regional Commission,Yes,13135050218,2639,Tract,2020,"Census Tract 502.18, Gwinnett County",4591,520,1.316545,3487.2,36685387.2182617,25585.5782173526
841,Atlanta Regional Commission,Yes,13135050317,2669,Tract,2020,"Census Tract 503.17, Gwinnett County",3487,514,0.502778,6935.5,14009752.3022461,20888.1052873611
842,Central Savannah River Area,No,13165960200,3067,Tract,2020,"Census Tract 9602, Jenkins County",2426,557,147.51479,16.4,4113533812.22339,338846.583708758
843,Central Savannah River Area,No,13165960100,3066,Tract,2020,"Census Tract 9601, Jenkins County",6267,557,205.14847,30.5,5721191811.63379,426462.391188758
844,Atlanta Regional Commission,Yes,13135050318,2670,Tract,2020,"Census Tract 503.18, Gwinnett County",2818,532,0.331038,8512.6,9224276.37304688,14874.6832490552
845,Atlanta Regional Commission,Yes,13135050215,2638,Tract,2020,"Census Tract 502.15, Gwinnett County",2989,458,2.825267,1058,78725403.7788086,40413.6528171521
846,Atlanta Regional Commission,Yes,13063040615,1485,Tract,2020,"Census Tract 406.15, Clayton County",2014,181,1.253173,1607.1,34910775.0861816,33992.8911073651
847,Atlanta Regional Commission,Yes,13063040617,1486,Tract,2020,"Census Tract 406.17, Clayton County",1512,290,0.4196,3603.4,11691040.9333496,17830.3361205264
848,Atlanta Regional Commission,Yes,13063040203,1436,Tract,2020,"Census Tract 402.03, Clayton County",3891,602,1.151689,3378.5,31427387.230957,26326.7532998526
849,Atlanta Regional Commission,Yes,13063040417,1449,Tract,2020,"Census Tract 404.17, Clayton County",6998,1202,2.004281,3491.5,55844326.6865234,29828.0638843206
850,Atlanta Regional Commission,Yes,13063040522,1467,Tract,2020,"Census Tract 405.22, Clayton County",4614,722,1.922739,2399.7,53572855.6867676,33855.8669522354
851,Atlanta Regional Commission,Yes,13063040523,1468,Tract,2020,"Census Tract 405.23, Clayton County",2821,667,1.029903,2739.1,28695818.128418,25889.8672460188
852,Atlanta Regional Commission,Yes,13135050322,2672,Tract,2020,"Census Tract 503.22, Gwinnett County",4781,680,2.008547,2380.3,55967977.2692871,34366.5502142319
853,Atlanta Regional Commission,Yes,13135050321,2671,Tract,2020,"Census Tract 503.21, Gwinnett County",5460,1153,2.025445,2695.7,56438713.2214355,37433.9449446026
854,Northwest Georgia,No,13047030600,1236,Tract,2020,"Census Tract 306, Catoosa County",5573,839,2.540019,2194.1,70809614.7675781,41956.5936466173
855,Northwest Georgia,No,13047030100,1224,Tract,2020,"Census Tract 301, Catoosa County",6694,777,56.050278,119.4,1562408218.02734,215509.083810304
856,Northwest Georgia,No,13047030402,1231,Tract,2020,"Census Tract 304.02, Catoosa County",5837,821,8.401917,694.7,234217786.194824,111348.267124845
857,Coastal Regional Commission,No,13183980000,3134,Tract,2020,"Census Tract 9800, Long County",0,14,43.877995,0,1223616185.42468,149900.474204301
858,Atlanta Regional Commission,Yes,13135050433,2692,Tract,2020,"Census Tract 504.33, Gwinnett County",2359,396,0.494076,4774.6,13767053.2114258,15296.9308513778
859,Atlanta Regional Commission,Yes,13135050435,2693,Tract,2020,"Census Tract 504.35, Gwinnett County",3097,515,1.634249,1895.1,45537294.3615723,30698.7106870715
860,Georgia Mountains,Yes,13139001405,2893,Tract,2020,"Census Tract 14.05, Hall County",2047,365,2.551419,802.3,71100066.0478516,43353.8397872703
861,Georgia Mountains,Yes,13139001406,2894,Tract,2020,"Census Tract 14.06, Hall County",4041,610,1.728959,2337.2,48180836.0458984,32123.0212541028
862,Georgia Mountains,Yes,13139000402,2867,Tract,2020,"Census Tract 4.02, Hall County",3502,815,4.359794,803.2,121466439.064209,57375.4451541412
863,Georgia Mountains,Yes,13139000401,2866,Tract,2020,"Census Tract 4.01, Hall County",2780,588,5.346076,520,148982259.425049,71504.2088356257
864,Georgia Mountains,Yes,13139000601,2870,Tract,2020,"Census Tract 6.01, Hall County",3188,690,2.589546,1231.1,72164692.9719238,59150.55107862
865,Georgia Mountains,Yes,13139000502,2869,Tract,2020,"Census Tract 5.02, Hall County",3298,687,4.049007,814.5,112836497.328857,69263.827285141
866,Georgia Mountains,Yes,13139000602,2871,Tract,2020,"Census Tract 6.02, Hall County",4102,509,9.195409,446.1,256256185.201172,86447.1961309696
867,Georgia Mountains,Yes,13139000902,2877,Tract,2020,"Census Tract 9.02, Hall County",3452,947,1.298315,2658.8,36180681.2875977,23643.7247293723
868,Georgia Mountains,Yes,13139001204,2887,Tract,2020,"Census Tract 12.04, Hall County",4794,678,13.540539,354,377335424.84668,136852.413528503
869,Georgia Mountains,Yes,13139000307,2865,Tract,2020,"Census Tract 3.07, Hall County",4246,658,7.34729,577.9,204750034.340332,90928.0975826527
870,Georgia Mountains,Yes,13139001609,2901,Tract,2020,"Census Tract 16.09, Hall County",5451,545,3.008792,1811.7,83843749.4360352,57076.6156183025
871,Georgia Mountains,Yes,13139001610,2902,Tract,2020,"Census Tract 16.10, Hall County",3292,568,2.64611,1244.1,73737492.3618164,38592.5430918656
872,Georgia Mountains,Yes,13139001005,2879,Tract,2020,"Census Tract 10.05, Hall County",4911,1059,2.107782,2329.9,58737689.6501465,41385.5199407235
873,Georgia Mountains,Yes,13139001007,2881,Tract,2020,"Census Tract 10.07, Hall County",2046,407,0.748588,2733.1,20861045.3151855,23358.1208528904
874,Georgia Mountains,Yes,13139001008,2882,Tract,2020,"Census Tract 10.08, Hall County",3677,507,1.433144,2565.7,39937871.8867188,28762.5718260343
875,Georgia Mountains,Yes,13139000901,2876,Tract,2020,"Census Tract 9.01, Hall County",2956,434,1.517218,1948.3,42281092.7929688,34298.4459185423
876,Georgia Mountains,Yes,13139001612,2904,Tract,2020,"Census Tract 16.12, Hall County",2896,404,1.856065,1560.3,51721671.8798828,35156.3406082217
877,Georgia Mountains,Yes,13139001611,2903,Tract,2020,"Census Tract 16.11, Hall County",4722,724,4.437062,1064.2,123644245.547363,62183.9612642202
878,Georgia Mountains,Yes,13139000703,2873,Tract,2020,"Census Tract 7.03, Hall County",4014,932,4.471546,897.7,124611414.003662,57356.9979014079
879,Georgia Mountains,Yes,13139001006,2880,Tract,2020,"Census Tract 10.06, Hall County",2888,665,6.595418,437.9,183794591.533447,75425.2446683206
880,Georgia Mountains,Yes,13139000704,2874,Tract,2020,"Census Tract 7.04, Hall County",3029,555,7.023788,431.2,195736792.847656,88557.9024816986
881,Georgia Mountains,Yes,13139000501,2868,Tract,2020,"Census Tract 5.01, Hall County",3670,739,5.098595,719.8,142086608.72583,81854.0029489995
882,Georgia Mountains,Yes,13139000206,2860,Tract,2020,"Census Tract 2.06, Hall County",2922,309,36.987503,79,1030796354.63257,161536.609074413
883,Georgia Mountains,Yes,13139001303,2889,Tract,2020,"Census Tract 13.03, Hall County",3019,650,3.311783,911.6,92288737.5617676,42787.6000566063
884,Georgia Mountains,Yes,13139001304,2890,Tract,2020,"Census Tract 13.04, Hall County",4011,837,8.884427,451.5,247582718.849854,92887.6276589738
885,Georgia Mountains,Yes,13139001203,2886,Tract,2020,"Census Tract 12.03, Hall County",2726,1025,1.058452,2575.5,29496269.1044922,26465.6391719732
886,Georgia Mountains,Yes,13139000205,2859,Tract,2020,"Census Tract 2.05, Hall County",2381,394,12.550611,189.7,349763517.739746,103577.267255302
887,Georgia Mountains,Yes,13139000306,2864,Tract,2020,"Census Tract 3.06, Hall County",2894,503,8.924235,324.3,248693774.986084,76800.1910631108
888,Northeast Georgia,No,13159010100,3052,Tract,2020,"Census Tract 101, Jasper County",2675,449,76.872902,34.8,2141932656.98657,289407.595205209
889,Northeast Georgia,No,13159010200,3053,Tract,2020,"Census Tract 102, Jasper County",3016,413,58.87405,51.2,1640380073.1748,228623.829913021
890,Central Savannah River Area,No,13245000600,3433,Tract,2020,"Census Tract 6, Richmond County",3046,640,0.943493,3228.4,26314681.4616699,22801.8759290724
891,Central Savannah River Area,No,13317010302,3765,Tract,2020,"Census Tract 103.02, Wilkes County",3721,403,134.56995,27.7,3751283788.73486,411894.710391426
892,Atlanta Regional Commission,Yes,13067030107,1508,Tract,2020,"Census Tract 301.07, Cobb County",5094,390,1.589104,3205.6,44282926.9372559,44876.6194839216
893,Atlanta Regional Commission,Yes,13067031409,1673,Tract,2020,"Census Tract 314.09, Cobb County",5831,782,5.217938,1117.5,145399310.890625,52198.0775195559
894,Atlanta Regional Commission,Yes,13135050539,2733,Tract,2020,"Census Tract 505.39, Gwinnett County",6154,713,0.901652,6825.2,25124218.2299805,21589.7509400175
895,Atlanta Regional Commission,Yes,13135050536,2731,Tract,2020,"Census Tract 505.36, Gwinnett County",6711,1157,2.942866,2280.4,82002229.4975586,43679.8642137759
896,Atlanta Regional Commission,Yes,13067030413,1607,Tract,2020,"Census Tract 304.13, Cobb County",4878,636,0.556852,8760,15516677.7126465,16326.505680569
897,Atlanta Regional Commission,Yes,13067030414,1608,Tract,2020,"Census Tract 304.14, Cobb County",2842,314,0.956343,2971.7,26648560.4272461,22675.2229302937
898,Atlanta Regional Commission,Yes,13067030412,1606,Tract,2020,"Census Tract 304.12, Cobb County",4944,785,0.774763,6381.3,21588924.527832,22415.8093189104
899,Southwest Georgia,No,13071970400,1710,Tract,2020,"Census Tract 9704, Colquitt County",4092,688,29.210976,140.1,813514557.204834,146456.798497522
900,Three Rivers,Yes,13077170801,1775,Tract,2020,"Census Tract 1708.01, Coweta County",4958,455,54.041477,91.7,1505760385.90796,207969.370436926
901,Three Rivers,Yes,13077170303,1753,Tract,2020,"Census Tract 1703.03, Coweta County",6545,715,23.238115,281.6,647509248.537354,110552.801442546
902,Three Rivers,Yes,13077170404,1760,Tract,2020,"Census Tract 1704.04, Coweta County",5271,673,7.448638,707.6,207541737.872559,76519.6325346501
903,Three Rivers,Yes,13077170405,1761,Tract,2020,"Census Tract 1704.05, Coweta County",7626,746,7.676118,993.5,213878532.832764,70597.9770233263
904,Three Rivers,Yes,13077170406,1762,Tract,2020,"Census Tract 1704.06, Coweta County",4301,504,4.912693,875.5,136881987.059326,71284.9398952905
905,Heart of Georgia Altamaha,No,13023790200,1119,Tract,2020,"Census Tract 7902, Bleckley County",2784,421,59.723259,46.6,1663820659.04553,180868.237368289
906,Heart of Georgia Altamaha,No,13023790100,1118,Tract,2020,"Census Tract 7901, Bleckley County",4362,383,126.61674,34.5,3527620552.45728,271885.682035799
907,Atlanta Regional Commission,Yes,13067030341,1570,Tract,2020,"Census Tract 303.41, Cobb County",4345,429,1.796405,2418.7,50058424.109375,37205.1722608011
908,Coastal Regional Commission,No,13103030204,2087,Tract,2020,"Census Tract 302.04, Effingham County",4671,625,43.701576,106.9,1219326977.16968,193799.458952454
909,Coastal Regional Commission,No,13103030401,2099,Tract,2020,"Census Tract 304.01, Effingham County",4989,832,31.187517,160,870177111.172852,174431.383698747
910,Coastal Regional Commission,No,13103030303,2094,Tract,2020,"Census Tract 303.03, Effingham County",2483,282,21.935093,113.2,612156323.130615,134609.970158638
911,Atlanta Regional Commission,Yes,13067030342,1571,Tract,2020,"Census Tract 303.42, Cobb County",4765,507,1.855692,2567.8,51710026.9274902,36045.2703713059
912,Atlanta Regional Commission,Yes,13067030409,1603,Tract,2020,"Census Tract 304.09, Cobb County",3332,341,1.417495,2350.6,39498896.4301758,28676.6927735336
913,Atlanta Regional Commission,Yes,13067030410,1604,Tract,2020,"Census Tract 304.10, Cobb County",4496,929,1.662843,2703.8,46335623.3764648,31920.9298487555
914,Atlanta Regional Commission,Yes,13067030408,1602,Tract,2020,"Census Tract 304.08, Cobb County",2653,303,0.912354,2907.9,25422806.4257813,22517.1362317051
915,Atlanta Regional Commission,Yes,13067030407,1601,Tract,2020,"Census Tract 304.07, Cobb County",5170,887,1.669807,3096.2,46529469.6040039,32579.1381823078
916,Southwest Georgia,No,13099090300,2081,Tract,2020,"Census Tract 903, Early County",1247,240,56.537075,22.1,1574770468.89929,174720.685711338
917,Southwest Georgia,No,13099090100,2079,Tract,2020,"Census Tract 901, Early County",1200,259,132.60068,9,3693064163.33521,277877.89137318
918,Atlanta Regional Commission,Yes,13067030236,1518,Tract,2020,"Census Tract 302.36, Cobb County",4593,448,2.062939,2226.4,57497036.5666504,35263.4459956076
919,Atlanta Regional Commission,Yes,13063040519,1465,Tract,2020,"Census Tract 405.19, Clayton County",4904,553,0.624068,7858.1,17388318.4931641,17524.1776176885
920,Atlanta Regional Commission,Yes,13063980000,1504,Tract,2020,"Census Tract 9800, Clayton County",0,14,5.753164,0,160250541.144287,59921.8856742879
921,Atlanta Regional Commission,Yes,13067030411,1605,Tract,2020,"Census Tract 304.11, Cobb County",2167,720,0.772669,2804.6,21530610.1608887,32120.0523244952
922,Atlanta Regional Commission,Yes,13067030344,1573,Tract,2020,"Census Tract 303.44, Cobb County",3763,571,0.902861,4167.9,25158175.4665527,22540.6721974705
923,Atlanta Regional Commission,Yes,13067030345,1574,Tract,2020,"Census Tract 303.45, Cobb County",6548,809,1.678354,3901.4,46767084.0795898,31499.1165701895
924,Atlanta Regional Commission,Yes,13067031113,1637,Tract,2020,"Census Tract 311.13, Cobb County",1425,401,0.424477,3357.1,11828069.8796387,15532.3675088933
925,Atlanta Regional Commission,Yes,13135050541,2734,Tract,2020,"Census Tract 505.41, Gwinnett County",5652,996,0.495037,11417.3,13794020.6025391,17787.0929053004
926,Three Rivers,No,13293010500,3659,Tract,2020,"Census Tract 105, Upson County",5050,742,10.41621,484.8,290179553.005615,84708.8249541856
927,Three Rivers,No,13293010600,3660,Tract,2020,"Census Tract 106, Upson County",1638,299,92.417099,17.7,2574592317.48657,277792.95639666
928,Three Rivers,No,13293010201,3654,Tract,2020,"Census Tract 102.01, Upson County",4995,646,10.318419,484.1,287457511.191895,105547.973883747
929,Three Rivers,No,13293010300,3656,Tract,2020,"Census Tract 103, Upson County",3320,382,83.140457,39.9,2316195296.21338,321450.713282963
930,Three Rivers,No,13293010202,3655,Tract,2020,"Census Tract 102.02, Upson County",2709,414,24.55583,110.3,684099325.544922,173748.963397581
931,Three Rivers,No,13293010100,3653,Tract,2020,"Census Tract 101, Upson County",2932,321,88.781105,33,2473248920.63184,248396.116637229
932,River Valley,No,13307960100,3723,Tract,2020,"Census Tract 9601, Webster County",1167,190,102.83562,11.3,2864437443.26013,331615.44232523
933,River Valley,No,13307960200,3724,Tract,2020,"Census Tract 9602, Webster County",1205,190,107.87133,11.2,3004648138.95679,261776.174708154
934,Atlanta Regional Commission,Yes,13067031115,1639,Tract,2020,"Census Tract 311.15, Cobb County",4210,466,1.419196,2966.5,39545999.032959,35428.0480160347
